College_ID,IQ,Previous_Sem_Percentage,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Project_Count,Placement,Average_Score
CLG0016,90,6.73,7.04,3,0,8,9,3,Placed,34.59
CLG0065,91,6.85,6.69,3,0,4,4,0,Not Placed,34.85
CLG0085,120,9.44,9.85,6,0,1,7,5,Placed,46.43
CLG0057,67,7.32,6.97,4,0,10,9,2,Placed,27.1
CLG0037,147,7.58,7.14,4,0,0,8,2,Placed,53.91
CLG0039,115,6.66,6.64,1,0,3,8,1,Not Placed,42.77
CLG0065,103,6.38,6.07,10,0,10,1,2,Not Placed,38.48
CLG0049,99,8.28,8.72,4,0,1,10,2,Not Placed,38.67
CLG0047,104,5.6,5.11,1,0,2,6,0,Placed,38.24
CLG0040,107,9.4,9.31,5,0,1,9,5,Not Placed,41.9
CLG0014,109,8.9,9.33,3,0,7,8,0,Not Placed,42.41
CLG0040,108,5.95,5.83,10,0,2,2,5,Placed,39.93
CLG0048,101,8.47,8.06,5,0,1,5,2,Placed,39.18
CLG0032,97,8.01,7.81,3,0,5,4,1,Not Placed,37.61
CLG0088,97,5.92,5.92,5,0,6,8,2,Not Placed,36.28
CLG0039,97,6.37,6.06,4,0,8,9,5,Placed,36.48
CLG0033,117,7.04,7.01,9,0,10,3,2,Placed,43.68
CLG0030,108,8.5,8.84,6,0,9,9,4,Placed,41.78
CLG0026,55,8.19,8.56,10,0,3,1,5,Not Placed,23.92
CLG0043,109,7.66,7.21,2,0,4,7,1,Placed,41.29
CLG0055,102,8.84,8.5,1,0,10,8,5,Placed,39.78
CLG0044,99,8.79,8.57,1,0,5,6,2,Not Placed,38.79
CLG0078,94,8.09,8.18,1,0,2,4,0,Placed,36.76
CLG0076,116,8.93,8.79,9,0,2,4,5,Placed,44.57
CLG0003,114,6.67,7.01,5,0,2,7,2,Not Placed,42.56
CLG0007,88,9.41,9.63,4,0,4,10,3,Not Placed,35.68
CLG0085,106,8.07,7.67,10,0,10,6,4,Placed,40.58
CLG0058,85,9.11,9.23,5,0,5,4,4,Placed,34.45
CLG0091,79,7.73,7.34,9,0,8,5,4,Not Placed,31.36
CLG0010,90,6.09,5.85,3,0,8,10,1,Placed,33.98
CLG0010,112,7.71,7.39,3,0,4,4,5,Placed,42.37
CLG0100,114,6.86,6.53,2,0,7,1,4,Placed,42.46
CLG0081,107,8.49,8.61,8,0,6,4,2,Not Placed,41.37
CLG0042,110,7.38,7.44,7,0,3,6,1,Not Placed,41.61
CLG0034,107,9.18,8.86,2,0,0,2,3,Not Placed,41.68
CLG0082,90,8.39,8.88,4,0,2,7,0,Not Placed,35.76
CLG0026,106,8.42,8.34,7,0,10,9,4,Not Placed,40.92
CLG0060,112,6.09,5.69,1,0,9,10,2,Not Placed,41.26
CLG0002,111,9.92,9.54,1,0,4,2,1,Placed,43.49
CLG0073,117,9.21,9.29,8,0,9,7,5,Not Placed,45.17
CLG0045,110,8.95,9.43,6,0,2,2,5,Not Placed,42.79
CLG0005,105,6.65,6.72,2,0,10,9,2,Placed,39.46
CLG0026,116,7.68,8.13,10,0,3,1,5,Placed,43.94
CLG0079,99,5.69,5.63,10,0,8,4,4,Not Placed,36.77
CLG0025,86,7.69,7.63,1,0,8,2,0,Placed,33.77
CLG0026,97,5.73,5.73,3,0,10,1,1,Not Placed,36.15
CLG0092,88,7.77,7.97,4,0,8,2,2,Placed,34.58
CLG0087,89,8.24,8.11,5,0,8,10,1,Not Placed,35.12
CLG0085,97,6.95,7.31,10,0,0,6,4,Placed,37.09
CLG0022,88,7.49,7.02,3,0,8,5,5,Not Placed,34.17
CLG0019,95,9.38,9.32,5,0,10,1,4,Not Placed,37.9
CLG0010,71,5.54,5.55,7,0,10,3,3,Not Placed,27.36
CLG0042,103,8.96,9.07,9,0,1,10,3,Placed,40.34
CLG0100,100,5.85,5.63,5,0,7,6,4,Placed,37.16
CLG0031,87,5.18,5.11,4,0,8,5,1,Not Placed,32.43
CLG0031,109,5.93,5.91,10,0,7,6,2,Not Placed,40.28
CLG0099,114,8.83,9.02,9,0,8,8,2,Not Placed,43.95
CLG0075,75,7.03,7.3,8,0,4,6,1,Placed,29.78
CLG0081,88,9.36,9.6,5,0,9,5,0,Placed,35.65
CLG0097,88,7.62,7.46,9,0,6,4,1,Not Placed,34.36
CLG0086,85,5.11,5.61,9,0,10,5,4,Placed,31.91
CLG0090,112,8.58,8.93,1,0,2,9,4,Not Placed,43.17
CLG0036,97,5.55,5.31,6,0,3,10,3,Not Placed,35.95
CLG0066,96,8.95,8.65,5,0,3,6,2,Not Placed,37.87
CLG0032,69,5.84,5.65,6,0,9,5,3,Not Placed,26.83
CLG0067,109,6.73,6.68,10,0,3,8,2,Placed,40.8
CLG0063,81,8.81,9.16,3,0,10,5,1,Placed,32.99
CLG0023,100,9.77,10.05,3,0,7,5,0,Not Placed,39.94
CLG0050,104,6.86,7.21,10,0,1,8,5,Placed,39.36
CLG0065,120,9.15,8.92,5,0,1,9,2,Not Placed,46.02
CLG0069,80,5.95,6.04,7,0,4,8,0,Not Placed,30.66
CLG0044,54,9.04,8.82,4,0,5,9,0,Not Placed,23.95
CLG0058,102,8.29,7.9,6,0,3,9,0,Placed,39.4
CLG0057,127,5.96,6.14,5,0,6,8,1,Placed,46.37
CLG0037,118,6.51,6.15,2,0,9,7,0,Placed,43.55
CLG0065,103,5.66,5.83,1,0,3,7,0,Not Placed,38.16
CLG0018,92,6.91,7.06,6,0,7,1,4,Placed,35.32
CLG0005,112,6.02,6.33,5,0,1,7,4,Placed,41.45
CLG0082,85,8.22,7.86,9,0,9,10,2,Not Placed,33.69
CLG0099,107,9.97,10.25,7,0,3,6,4,Placed,42.41
CLG0096,107,5.06,5.56,1,0,10,1,2,Not Placed,39.21
CLG0026,115,7.7,8.05,10,0,6,10,0,Placed,43.58
CLG0033,141,7.87,8.12,6,0,4,10,4,Not Placed,52.33
CLG0042,105,9.57,9.73,7,0,9,8,3,Not Placed,41.43
CLG0088,92,7.53,7.45,3,0,10,9,5,Placed,35.66
CLG0027,99,7.72,7.95,9,0,1,2,5,Not Placed,38.22
CLG0054,73,7.36,7.58,2,0,2,4,1,Not Placed,29.31
CLG0083,89,6.34,6.47,1,0,3,7,4,Not Placed,33.94
CLG0082,93,5.28,5.58,10,0,4,1,1,Placed,34.62
CLG0079,92,7.04,6.99,10,0,6,8,5,Placed,35.34
CLG0091,102,5.26,4.88,9,0,2,9,4,Not Placed,37.38
CLG0075,87,7.75,7.81,7,0,8,8,5,Placed,34.19
CLG0024,116,6.54,6.31,10,0,9,2,4,Placed,42.95
CLG0003,100,7.67,7.55,1,0,2,8,3,Placed,38.41
CLG0039,99,5.67,5.19,4,0,4,8,0,Placed,36.62
CLG0071,95,9.66,9.54,10,0,4,2,2,Not Placed,38.07
CLG0012,102,9.47,9.78,3,0,6,9,4,Placed,40.42
CLG0033,112,5.95,5.99,7,0,5,1,4,Placed,41.31
CLG0022,86,6.72,6.23,5,0,10,7,1,Not Placed,32.98
CLG0035,90,8.07,8.04,9,0,2,2,0,Placed,35.37
CLG0014,95,5.48,5.27,3,0,0,8,4,Not Placed,35.25
CLG0026,79,6.77,6.75,6,0,5,8,4,Placed,30.84
CLG0083,87,6.26,6.16,10,0,10,4,2,Placed,33.14
CLG0085,92,9.58,10.01,2,0,5,8,5,Not Placed,37.2
CLG0054,113,9.26,8.8,3,0,3,5,0,Not Placed,43.69
CLG0041,103,7.9,8.08,4,0,1,9,0,Placed,39.66
CLG0045,102,7.6,7.95,6,0,8,1,5,Not Placed,39.18
CLG0031,112,9.65,10.11,1,0,5,5,4,Not Placed,43.92
CLG0069,97,9.66,9.34,6,0,0,9,0,Placed,38.67
CLG0099,105,9.85,9.88,4,0,7,6,0,Not Placed,41.58
CLG0017,98,5.63,5.17,8,0,9,4,2,Placed,36.27
CLG0060,103,5.8,5.8,9,0,6,1,3,Not Placed,38.2
CLG0096,91,8.38,8.01,8,0,10,10,5,Not Placed,35.8
CLG0004,63,7.71,8.05,8,0,10,6,5,Not Placed,26.25
CLG0010,97,5.09,4.7,2,0,5,7,2,Placed,35.6
CLG0094,121,5.31,5.32,10,0,10,7,3,Not Placed,43.88
CLG0009,113,9.44,9.46,2,0,10,9,2,Placed,43.97
CLG0061,114,9.34,9.81,6,0,0,4,5,Not Placed,44.38
CLG0090,118,6.79,6.94,5,0,9,4,5,Not Placed,43.91
CLG0022,101,9.46,9.25,6,0,4,5,4,Placed,39.9
CLG0021,102,7.97,7.71,9,0,3,9,2,Placed,39.23
CLG0023,90,9.03,8.66,10,0,6,2,0,Placed,35.9
CLG0061,95,7.14,7.4,7,0,1,4,0,Not Placed,36.51
CLG0012,109,5.57,5.76,5,0,0,9,1,Not Placed,40.11
CLG0095,118,7.17,7.28,10,0,6,6,4,Not Placed,44.15
CLG0017,97,7.29,6.83,7,0,7,6,0,Placed,37.04
CLG0055,93,7.75,8.01,8,0,4,7,4,Not Placed,36.25
CLG0021,100,5.53,5.67,1,0,7,5,2,Placed,37.07
CLG0054,109,9.96,10.42,10,0,3,4,0,Not Placed,43.13
CLG0047,78,6.22,6.31,7,0,7,3,4,Placed,30.18
CLG0041,65,5.99,5.79,4,0,10,2,2,Placed,25.59
CLG0097,91,7.63,7.51,5,0,2,7,5,Placed,35.38
CLG0015,81,7.69,7.37,2,0,6,5,3,Placed,32.02
CLG0096,92,7.2,7.42,10,0,5,1,1,Not Placed,35.54
CLG0059,97,8.86,9.07,5,0,0,4,2,Placed,38.31
CLG0099,93,7.58,7.28,9,0,4,9,5,Not Placed,35.95
CLG0015,121,8.05,7.71,1,0,10,8,3,Not Placed,45.59
CLG0029,104,8.62,8.2,3,0,3,7,4,Not Placed,40.27
CLG0011,104,5.13,5.54,4,0,5,5,3,Not Placed,38.22
CLG0029,109,7.85,7.58,9,0,8,1,0,Not Placed,41.48
CLG0086,82,9.42,9.26,2,0,3,5,5,Placed,33.56
CLG0090,115,5.09,4.87,7,0,1,8,5,Placed,41.65
CLG0082,98,7.03,6.94,9,0,7,4,4,Not Placed,37.32
CLG0089,110,9.63,9.84,10,0,0,5,1,Placed,43.16
CLG0085,83,6.77,7.14,4,0,5,8,1,Not Placed,32.3
CLG0088,76,7.29,6.97,5,0,3,5,4,Not Placed,30.09
CLG0056,112,9.91,10.1,10,0,5,4,0,Not Placed,44.0
CLG0092,105,6.0,5.85,4,0,2,4,4,Not Placed,38.95
CLG0053,86,5.33,5.81,7,0,8,6,4,Not Placed,32.38
CLG0003,86,9.3,9.1,8,0,2,10,5,Not Placed,34.8
CLG0013,116,9.34,8.85,8,0,2,1,4,Placed,44.73
CLG0038,82,7.36,7.38,3,0,4,4,2,Not Placed,32.25
CLG0070,124,7.57,7.22,2,0,6,1,1,Not Placed,46.26
CLG0011,86,9.18,8.72,6,0,5,6,1,Placed,34.63
CLG0023,109,8.69,8.89,1,0,6,8,0,Placed,42.19
CLG0073,95,6.33,6.56,9,0,8,4,1,Placed,35.96
CLG0056,109,5.08,5.04,7,0,2,8,0,Placed,39.71
CLG0017,91,7.4,7.58,8,0,4,2,5,Not Placed,35.33
CLG0009,97,9.29,9.33,7,0,4,5,0,Not Placed,38.54
CLG0083,100,9.48,9.61,5,0,2,3,1,Placed,39.7
CLG0099,84,9.78,9.88,5,0,10,7,4,Placed,34.55
CLG0096,111,9.4,9.57,7,0,9,9,4,Placed,43.32
CLG0092,92,7.9,7.6,7,0,8,1,2,Not Placed,35.83
CLG0028,96,7.22,6.99,2,0,8,8,0,Placed,36.74
CLG0079,85,8.87,8.81,2,0,5,4,3,Placed,34.23
CLG0019,61,8.7,8.65,7,0,4,10,3,Placed,26.12
CLG0097,97,7.69,7.96,5,0,3,5,5,Not Placed,37.55
CLG0087,136,5.44,5.31,2,0,3,1,1,Placed,48.92
CLG0092,111,9.63,9.29,1,0,4,5,1,Placed,43.31
CLG0004,99,7.28,7.03,9,0,1,9,3,Placed,37.77
CLG0047,96,6.82,6.53,8,0,7,8,2,Not Placed,36.45
CLG0047,100,8.15,8.38,2,0,6,8,5,Not Placed,38.84
CLG0031,108,8.37,8.34,2,0,6,6,0,Placed,41.57
CLG0099,82,6.05,6.26,3,0,0,9,0,Not Placed,31.44
CLG0005,116,9.18,9.1,4,0,7,4,5,Not Placed,44.76
CLG0033,110,6.45,6.84,9,0,10,6,1,Not Placed,41.1
CLG0048,110,5.93,6.41,6,0,0,3,5,Placed,40.78
CLG0032,106,7.03,7.2,3,0,8,2,1,Not Placed,40.08
CLG0079,100,8.65,9.01,8,0,5,9,5,Not Placed,39.22
CLG0059,110,9.83,9.84,6,0,7,5,4,Placed,43.22
CLG0098,108,9.05,9.48,8,0,0,2,2,Placed,42.18
CLG0064,94,9.7,10.03,10,0,5,5,0,Placed,37.91
CLG0047,91,5.7,6.19,2,0,0,6,4,Placed,34.3
CLG0009,101,5.36,5.48,8,0,2,8,3,Placed,37.28
CLG0035,123,7.79,8.07,5,0,1,5,4,Placed,46.29
CLG0047,81,6.45,6.49,10,0,1,2,5,Not Placed,31.31
CLG0088,77,9.14,8.9,4,0,3,7,3,Not Placed,31.68
CLG0082,102,8.36,8.21,3,0,6,5,3,Not Placed,39.52
CLG0017,100,9.85,10.24,9,0,2,2,0,Not Placed,40.03
CLG0001,102,6.27,5.83,10,0,6,6,4,Placed,38.03
CLG0055,103,7.43,7.52,7,0,8,7,0,Not Placed,39.32
CLG0011,96,7.51,7.38,7,0,3,8,2,Not Placed,36.96
CLG0033,122,6.2,6.09,6,0,6,3,2,Placed,44.76
CLG0070,75,7.95,8.33,9,0,0,4,2,Placed,30.43
CLG0056,87,7.22,7.57,3,0,1,6,2,Placed,33.93
CLG0064,98,7.23,7.33,1,0,7,3,3,Not Placed,37.52
CLG0093,75,6.81,6.58,7,0,2,6,5,Placed,29.46
CLG0058,97,5.08,5.06,9,0,4,9,2,Not Placed,35.71
CLG0020,124,7.61,7.52,6,0,7,5,0,Not Placed,46.38
CLG0018,100,6.68,6.53,10,0,4,2,5,Placed,37.74
CLG0078,103,5.01,4.61,2,0,0,10,4,Not Placed,37.54
CLG0045,81,6.54,6.58,8,0,1,2,4,Not Placed,31.37
CLG0043,90,6.39,6.19,9,0,9,7,0,Placed,34.19
CLG0020,94,6.97,7.13,10,0,10,4,1,Not Placed,36.03
CLG0057,95,5.66,5.48,8,0,2,9,1,Not Placed,35.38
CLG0082,119,7.54,7.47,9,0,9,9,1,Not Placed,44.67
CLG0027,108,8.46,8.01,1,0,1,6,1,Not Placed,41.49
CLG0018,83,8.15,8.64,3,0,8,10,3,Not Placed,33.26
CLG0017,103,9.02,9.03,3,0,4,5,3,Not Placed,40.35
CLG0060,107,7.26,6.78,9,0,0,7,4,Placed,40.35
CLG0089,117,7.6,7.64,3,0,10,5,4,Placed,44.08
CLG0005,123,9.05,9.42,10,0,10,9,3,Placed,47.16
CLG0006,84,7.14,7.41,1,0,10,9,3,Not Placed,32.85
CLG0100,87,8.51,8.71,3,0,7,7,4,Not Placed,34.74
CLG0097,81,7.17,6.81,2,0,2,4,0,Placed,31.66
CLG0015,96,7.09,7.25,9,0,10,1,3,Not Placed,36.78
CLG0039,106,8.8,9.07,1,0,8,4,0,Not Placed,41.29
CLG0080,114,5.87,5.94,2,0,8,3,2,Not Placed,41.94
CLG0039,98,6.69,7.08,1,0,5,1,0,Not Placed,37.26
CLG0088,95,6.12,5.9,9,0,3,10,0,Placed,35.67
CLG0021,102,6.8,6.54,7,0,8,4,3,Placed,38.45
CLG0013,87,6.15,6.52,1,0,10,7,2,Not Placed,33.22
CLG0029,131,7.9,8.03,10,0,8,2,1,Placed,48.98
CLG0098,75,8.99,8.49,6,0,1,7,0,Placed,30.83
CLG0005,102,8.93,8.78,5,0,9,6,2,Placed,39.9
CLG0067,130,6.82,7.18,10,0,5,9,2,Not Placed,48.0
CLG0021,100,9.94,9.47,5,0,10,2,3,Placed,39.8
CLG0009,97,7.97,7.47,4,0,3,6,2,Not Placed,37.48
CLG0067,94,7.0,6.78,3,0,2,6,5,Placed,35.93
CLG0044,97,9.18,9.59,8,0,9,6,1,Not Placed,38.59
CLG0062,120,8.65,9.05,7,0,5,3,3,Placed,45.9
CLG0094,66,8.75,8.77,5,0,10,6,5,Placed,27.84
CLG0067,123,5.98,6.03,9,0,7,9,0,Placed,45.0
CLG0062,78,7.34,7.17,7,0,8,3,3,Not Placed,30.84
CLG0062,96,9.31,9.05,10,0,8,2,0,Not Placed,38.12
CLG0060,93,7.52,7.84,2,0,1,8,3,Placed,36.12
CLG0049,108,8.42,8.03,7,0,7,3,2,Not Placed,41.48
CLG0039,76,7.94,7.93,7,0,10,5,1,Not Placed,30.62
CLG0041,106,9.21,9.34,4,0,7,5,3,Not Placed,41.52
CLG0050,130,6.42,6.02,8,0,4,2,5,Placed,47.48
CLG0098,79,7.88,7.9,4,0,3,2,4,Not Placed,31.59
CLG0017,102,5.62,5.7,7,0,8,6,2,Placed,37.77
CLG0053,90,8.45,8.69,4,0,3,2,3,Placed,35.71
CLG0055,106,8.66,8.39,8,0,9,6,2,Not Placed,41.02
CLG0078,100,5.21,5.0,3,0,3,7,4,Not Placed,36.74
CLG0075,90,8.38,8.45,2,0,2,4,5,Not Placed,35.61
CLG0056,107,7.07,7.55,10,0,9,10,2,Placed,40.54
CLG0001,127,5.62,5.34,6,0,2,4,2,Not Placed,45.99
CLG0065,97,7.1,7.59,7,0,2,3,3,Placed,37.23
CLG0064,110,5.97,6.18,7,0,10,1,2,Not Placed,40.72
CLG0052,80,7.08,7.41,6,0,6,4,5,Placed,31.5
CLG0015,85,6.92,6.51,8,0,4,3,3,Placed,32.81
CLG0002,107,8.69,8.49,6,0,8,8,1,Not Placed,41.39
CLG0012,122,8.87,8.43,6,0,1,5,4,Placed,46.43
CLG0045,105,8.04,7.91,3,0,3,7,5,Not Placed,40.32
CLG0057,95,5.11,5.59,2,0,1,3,5,Placed,35.23
CLG0042,99,9.66,9.27,7,0,10,3,0,Placed,39.31
CLG0002,81,8.43,8.49,6,0,7,6,4,Placed,32.64
CLG0087,109,5.17,4.68,1,0,3,10,2,Placed,39.62
CLG0062,113,9.09,9.3,2,0,0,4,5,Placed,43.8
CLG0034,93,6.0,5.7,2,0,9,8,3,Placed,34.9
CLG0017,92,7.9,7.53,1,0,2,3,0,Placed,35.81
CLG0041,103,7.33,7.17,3,0,6,5,0,Not Placed,39.17
CLG0078,93,7.1,7.37,5,0,2,1,5,Not Placed,35.82
CLG0075,99,9.45,9.06,4,0,4,1,2,Not Placed,39.17
CLG0084,131,7.19,6.92,2,0,1,8,5,Placed,48.37
CLG0071,96,5.38,4.89,8,0,7,7,0,Not Placed,35.42
CLG0065,94,9.73,10.2,9,0,3,1,3,Placed,37.98
CLG0015,90,9.6,9.69,8,0,0,6,2,Not Placed,36.43
CLG0038,111,8.42,8.64,7,0,3,2,5,Placed,42.69
CLG0098,97,7.34,7.49,10,0,7,1,4,Not Placed,37.28
CLG0073,90,5.46,5.1,2,0,8,10,2,Not Placed,33.52
CLG0065,119,8.95,9.04,6,0,0,5,2,Placed,45.66
CLG0009,121,5.38,5.01,4,0,5,5,0,Not Placed,43.8
CLG0042,90,5.34,5.24,5,0,3,2,5,Placed,33.53
CLG0066,72,7.69,7.76,9,0,10,5,1,Not Placed,29.15
CLG0086,115,5.8,5.86,9,0,7,7,0,Placed,42.22
CLG0089,89,5.04,4.66,4,0,0,4,5,Placed,32.9
CLG0051,111,7.12,6.65,8,0,4,2,5,Not Placed,41.59
CLG0078,70,5.69,5.99,5,0,0,5,1,Placed,27.23
CLG0099,113,5.8,6.03,9,0,3,6,2,Not Placed,41.61
CLG0080,81,5.38,4.96,2,0,1,8,2,Not Placed,30.45
CLG0019,110,6.03,5.66,4,0,9,9,5,Not Placed,40.56
CLG0031,100,8.58,8.97,3,0,8,10,4,Not Placed,39.18
CLG0066,85,9.04,9.31,7,0,1,8,0,Placed,34.45
CLG0032,93,7.26,7.76,2,0,3,7,4,Placed,36.01
CLG0100,110,7.53,7.28,3,0,2,9,3,Placed,41.6
CLG0075,101,5.16,5.15,9,0,0,9,2,Placed,37.1
CLG0008,108,5.35,5.09,8,0,0,6,5,Not Placed,39.48
CLG0069,129,6.29,6.41,2,0,1,3,5,Placed,47.23
CLG0098,76,7.72,7.34,6,0,7,8,4,Not Placed,30.35
CLG0032,124,8.7,8.33,3,0,1,3,3,Placed,47.01
CLG0047,101,8.03,7.6,6,0,0,1,1,Not Placed,38.88
CLG0070,86,6.96,7.15,5,0,5,4,0,Not Placed,33.37
CLG0008,80,5.59,5.58,10,0,0,9,3,Not Placed,30.39
CLG0034,97,8.9,9.02,4,0,9,8,0,Not Placed,38.31
CLG0004,113,6.82,7.2,7,0,8,6,2,Placed,42.34
CLG0036,98,8.68,8.92,10,0,5,3,5,Not Placed,38.53
CLG0044,122,7.56,7.52,7,0,9,3,1,Placed,45.69
CLG0025,78,8.69,9.17,4,0,5,7,2,Not Placed,31.95
CLG0026,99,9.54,9.5,3,0,0,5,3,Placed,39.35
CLG0033,81,9.61,9.22,4,0,6,3,1,Placed,33.28
CLG0009,105,7.68,8.17,2,0,2,1,3,Placed,40.28
CLG0047,113,7.56,7.08,4,0,0,9,0,Placed,42.55
CLG0072,93,6.33,6.38,4,0,8,5,2,Not Placed,35.24
CLG0017,60,9.68,9.49,5,0,7,7,0,Not Placed,26.39
CLG0015,102,7.29,7.29,1,0,3,10,1,Placed,38.86
CLG0042,106,5.64,5.7,2,0,2,9,4,Not Placed,39.11
CLG0054,106,7.16,6.9,8,0,1,4,0,Placed,40.02
CLG0013,118,5.64,5.7,8,0,1,5,1,Not Placed,43.11
CLG0050,83,7.51,7.77,8,0,10,3,1,Placed,32.76
CLG0044,110,7.81,7.58,5,0,2,7,3,Placed,41.8
CLG0003,117,6.69,6.57,8,0,0,1,0,Not Placed,43.42
CLG0053,73,5.36,5.13,9,0,9,8,2,Placed,27.83
CLG0056,104,9.72,10.04,4,0,6,3,0,Not Placed,41.25
CLG0054,92,8.87,9.09,4,0,1,4,3,Not Placed,36.65
CLG0057,98,9.19,9.56,7,0,5,10,1,Not Placed,38.92
CLG0012,105,6.83,6.5,5,0,5,4,2,Not Placed,39.44
CLG0093,92,8.8,8.37,10,0,10,7,4,Placed,36.39
CLG0059,89,7.43,7.05,1,0,3,7,5,Not Placed,34.49
CLG0065,100,6.01,5.67,8,0,3,4,2,Not Placed,37.23
CLG0096,83,5.62,5.65,4,0,0,6,5,Placed,31.42
CLG0037,83,6.73,7.2,8,0,10,8,0,Not Placed,32.31
CLG0020,110,5.69,5.55,2,0,5,10,2,Placed,40.41
CLG0072,82,9.99,10.45,4,0,7,4,0,Placed,34.15
CLG0037,109,5.25,4.79,2,0,9,1,2,Placed,39.68
CLG0031,106,7.21,7.64,5,0,3,7,0,Placed,40.28
CLG0095,74,7.26,6.94,10,0,0,2,5,Placed,29.4
CLG0025,89,6.5,6.91,10,0,3,3,1,Not Placed,34.14
CLG0050,117,7.86,7.42,8,0,1,8,1,Placed,44.09
CLG0049,85,5.75,6.2,7,0,3,2,0,Placed,32.32
CLG0008,93,8.92,8.62,5,0,7,2,0,Placed,36.85
CLG0094,106,6.66,6.46,7,0,2,4,4,Placed,39.71
CLG0094,111,7.96,7.95,5,0,4,6,0,Not Placed,42.3
CLG0091,96,8.58,8.46,7,0,9,10,3,Not Placed,37.68
CLG0035,91,9.45,9.62,4,0,10,2,5,Placed,36.69
CLG0013,121,9.18,9.65,4,0,1,9,0,Placed,46.61
CLG0021,126,8.04,8.15,10,0,8,2,1,Not Placed,47.4
CLG0073,114,6.94,7.16,4,0,2,9,2,Not Placed,42.7
CLG0024,101,7.52,7.11,8,0,0,7,1,Not Placed,38.54
CLG0048,87,8.84,8.97,1,0,6,3,3,Not Placed,34.94
CLG0033,87,9.39,9.34,10,0,10,9,2,Not Placed,35.24
CLG0001,107,5.52,5.91,5,0,4,9,1,Not Placed,39.48
CLG0072,106,6.92,6.81,10,0,8,6,0,Not Placed,39.91
CLG0003,121,8.88,9.06,2,0,2,2,5,Not Placed,46.31
CLG0014,109,7.16,6.89,10,0,10,7,0,Placed,41.02
CLG0014,77,6.66,6.42,4,0,0,4,2,Not Placed,30.03
CLG0049,115,7.06,6.94,5,0,6,4,5,Placed,43.0
CLG0033,85,8.01,7.81,8,0,7,7,4,Placed,33.61
CLG0004,94,10.0,9.75,2,0,10,5,3,Placed,37.92
CLG0038,103,7.46,7.01,2,0,1,1,1,Not Placed,39.16
CLG0025,129,6.04,6.38,2,0,1,3,1,Placed,47.14
CLG0047,146,5.81,5.37,8,0,8,7,3,Placed,52.39
CLG0013,109,5.21,5.6,3,0,3,9,1,Placed,39.94
CLG0039,97,7.79,7.42,5,0,0,9,2,Placed,37.4
CLG0025,108,7.72,7.29,2,0,8,7,4,Not Placed,41.0
CLG0073,113,6.03,6.09,6,0,8,5,2,Placed,41.71
CLG0043,95,8.48,8.48,10,0,5,4,4,Not Placed,37.32
CLG0038,126,8.71,8.7,6,0,5,9,5,Placed,47.8
CLG0035,103,6.3,6.37,2,0,8,6,0,Not Placed,38.56
CLG0093,107,6.72,6.51,4,0,1,10,4,Placed,40.08
CLG0055,109,9.95,10.11,2,0,8,2,4,Placed,43.02
CLG0050,106,6.87,6.87,10,0,3,3,4,Not Placed,39.91
CLG0078,112,8.8,8.63,4,0,3,7,1,Not Placed,43.14
CLG0034,90,7.26,7.59,7,0,8,4,4,Placed,34.95
CLG0025,91,8.97,9.2,5,0,6,7,3,Not Placed,36.39
CLG0042,83,8.85,8.74,10,0,9,5,0,Placed,33.53
CLG0092,106,8.34,8.69,4,0,4,1,0,Not Placed,41.01
CLG0051,111,9.27,9.69,10,0,7,10,1,Not Placed,43.32
CLG0094,106,9.7,9.74,10,0,0,3,2,Placed,41.81
CLG0037,125,7.9,7.61,3,0,6,9,3,Placed,46.84
CLG0066,99,6.19,6.61,6,0,3,4,2,Not Placed,37.27
CLG0085,110,6.99,6.68,2,0,1,5,4,Placed,41.22
CLG0034,83,8.79,8.34,4,0,1,2,2,Not Placed,33.38
CLG0083,94,8.25,8.08,8,0,10,10,3,Not Placed,36.78
CLG0038,110,5.89,6.12,2,0,8,8,1,Not Placed,40.67
CLG0031,112,5.26,5.68,9,0,5,1,1,Not Placed,40.98
CLG0026,95,8.41,8.55,2,0,10,4,4,Not Placed,37.32
CLG0076,98,6.26,6.71,8,0,3,6,3,Not Placed,36.99
CLG0094,77,7.5,7.09,8,0,1,8,1,Placed,30.53
CLG0026,94,8.73,8.29,7,0,6,4,4,Not Placed,37.01
CLG0063,113,7.81,7.91,10,0,8,2,2,Placed,42.91
CLG0048,108,5.42,5.89,6,0,1,4,3,Placed,39.77
CLG0095,107,5.93,5.93,1,0,3,1,1,Not Placed,39.62
CLG0079,100,6.1,5.65,2,0,0,8,3,Placed,37.25
CLG0010,100,6.29,6.01,7,0,0,9,1,Placed,37.43
CLG0036,90,7.83,7.57,4,0,2,3,5,Placed,35.13
CLG0040,110,7.52,7.36,9,0,0,8,1,Not Placed,41.63
CLG0026,106,6.02,5.56,3,0,3,9,3,Placed,39.19
CLG0009,107,5.34,5.74,4,0,5,8,1,Placed,39.36
CLG0053,92,5.86,5.88,3,0,4,2,2,Not Placed,34.58
CLG0081,67,9.92,10.09,7,0,8,2,4,Not Placed,29.0
CLG0070,116,7.34,6.91,2,0,10,10,5,Placed,43.42
CLG0086,92,9.34,8.89,10,0,1,4,0,Placed,36.74
CLG0080,87,9.24,9.33,2,0,1,1,3,Placed,35.19
CLG0086,110,7.56,7.95,2,0,2,3,3,Placed,41.84
CLG0053,94,8.53,8.56,4,0,3,4,4,Placed,37.03
